Kim Sơn,Ninh Bình
Kim Thành,Hải Dương
Kinh Môn,Hải Dương
Kon Plông,Kon Tum
Kon Rẫy,Kon Tum
Kon Tum (thành phố),Kon Tum
Kông Chro,Gia Lai
Krông Ana,Đắk Lắk
Krông Bông,Đắk Lắk
Krông Búk,Đắk Lắk
Krông Năng,Đắk Lắk
Krông Nô,Đăk Nông
Krông Pa,Gia Lai
Krông Pắk,Đắk Lắk
Kỳ Anh (huyện),Hà Tĩnh
Kỳ Anh (thị xã),Hà Tĩnh
Kỳ Sơn,Nghệ An
La Gi,Bình Thuận
Lạc Dương, Lâm Đồng,Lâm Đồng
Lạc Sơn,Hòa Bình
Lạc Thủy,Hòa Bình
Lai Châu (thành phố),Lai Châu
Lai Vung,Đồng Tháp
Lang Chánh,Thanh Hóa
Lạng Giang,Bắc Giang
Lạng Sơn (thành phố),Lạng Sơn
Lào Cai (thành phố),Lào Cai
Lắk,Đắk Lắk
Lâm Bình,Tuyên Quang
Lâm Hà,Lâm Đồng
Lâm Thao,Phú Thọ
Lấp Vò,Đồng Tháp
Lập Thạch,Vĩnh Phúc
Lê Chân (quận),Hải Phòng
Lệ Thủy,Quảng Bình
Liên Chiểu,Đà Nẵng
Long Biên,Hà Nội
Long Điền,Bà Rịa-Vũng Tàu
Long Hồ,Vĩnh Long
Long Khánh,Đồng Nai
Long Mỹ (thị xã),Hậu Giang
Long Mỹ (huyện),Hậu Giang
Long Phú,Sóc Trăng
Long Thành,Đồng Nai
Long Xuyên,An Giang
Lộc Bình,Lạng Sơn
Lộc Hà,Hà Tĩnh
Lộc Ninh,Bình Phước
Lục Nam,Bắc Giang
Lục Ngạn,Bắc Giang
Lục Yên,Yên Bái
Lương Sơn,Hòa Bình
Lương Tài,Bắc Ninh
Lý Nhân,Hà Nam
Lý Sơn,Quảng Ngãi
Mai Châu,Hòa Bình
Mai Sơn,Sơn La
Mang Thít,Vĩnh Long
Mang Yang,Gia Lai
M'Đrăk,Đắk Lắk
Mèo Vạc,Hà Giang
Mê Linh,Hà Nội
Minh Hóa,Quảng Bình
Minh Long,Quảng Ngãi
Mỏ Cày Bắc,Bến Tre
Mỏ Cày Nam,Bến Tre
Móng Cái,Quảng Ninh
Mộ Đức,Quảng Ngãi
Mộc Châu,Sơn La
Mộc Hóa,Long An
Mù Cang Chải,Yên Bái
Mường Ảng,Điện Biên
Mường Chà,Điện Biên
Mường Khương,Lào Cai
Mường La,Sơn La
Mường Lát,Thanh Hóa
Mường Lay,Điện Biên
Mường Nhé,Điện Biên
Mường Tè,Lai Châu
Mỹ Đức,Hà Nội
Mỹ Hào,Hưng Yên
Mỹ Lộc,Nam Định
Mỹ Tho,Tiền Giang
Mỹ Tú,Sóc Trăng
Mỹ Xuyên,Sóc Trăng
Na Hang,Tuyên Quang
Na Rì,Bắc Kạn
Nam Đàn,Nghệ An
Nam Định (thành phố),Nam Định
Nam Đông,Thừa Thiên-Huế
Nam Giang,Quảng Nam
Nam Sách,Hải Dương
Nam Trà My,Quảng Nam
Nam Trực,Nam Định
Nam Từ Liêm,Hà Nội
Năm Căn,Cà Mau
Nậm Pồ,Điện Biên
Nậm Nhùn,Lai Châu
Nga Sơn,Thanh Hóa
Ngã Bảy,Hậu Giang
Ngã Năm,Sóc Trăng
Ngân Sơn,Bắc Kạn
Nghi Lộc,Nghệ An
Nghi Sơn,Thanh Hóa
Nghi Xuân,Hà Tĩnh
Nghĩa Đàn,Nghệ An
Nghĩa Hành,Quảng Ngãi
Nghĩa Hưng,Nam Định
Nghĩa Lộ,Yên Bái
Ngọc Hiển,Cà Mau
Ngọc Hồi,Kon Tum
Ngọc Lặc,Thanh Hóa
Ngô Quyền (quận),Hải Phòng
Ngũ Hành Sơn (quận),Đà Nẵng
Nguyên Bình,Cao Bằng
Nha Trang,Khánh Hòa
Nhà Bè,Thành phố Hồ Chí Minh
Nho Quan,Ninh Bình
Nhơn Trạch,Đồng Nai
Như Thanh,Thanh Hóa
Như Xuân,Thanh Hóa
Ninh Bình (thành phố),Ninh Bình
Ninh Giang,Hải Dương
Ninh Hải,Ninh Thuận
Ninh Hòa,Khánh Hòa
Ninh Kiều,Cần Thơ
Ninh Phước,Ninh Thuận
Ninh Sơn,Ninh Thuận
Nông Cống,Thanh Hóa
Nông Sơn,Quảng Nam
Núi Thành,Quảng Nam
Ô Môn,Cần Thơ
Pác Nặm,Bắc Kạn
Phan Rang - Tháp Chàm,Ninh Thuận
Phan Thiết,Bình Thuận
Phong Điền, Thừa Thiên-Huế,Thừa Thiên-Huế
Phong Điền, Cần Thơ,Cần Thơ
Phong Thổ,Lai Châu
Phổ Yên,Thái Nguyên
Phú Bình,Thái Nguyên
Phú Giáo,Bình Dương
Phú Hòa,Phú Yên
Phú Lộc,Thừa Thiên-Huế
Phú Lương,Thái Nguyên
Phú Mỹ,Bà Rịa-Vũng Tàu
Phú Nhuận,Thành phố Hồ Chí Minh
Phú Ninh,Quảng Nam
Phú Quý,Bình Thuận
Phú Quốc,Kiên Giang
Phú Riềng,Bình Phước
Phú Tân, An Giang,An Giang
Phú Tân, Cà Mau,Cà Mau
Phú Thiện,Gia Lai
Phú Thọ (thị xã),Phú Thọ
Phú Vang,Thừa Thiên-Huế
Phú Xuyên,Hà Nội
Phù Cát,Bình Định
Phù Cừ,Hưng Yên
Phù Mỹ,Bình Định
Phù Ninh,Phú Thọ
Phù Yên,Sơn La
Phủ Lý,Hà Nam
Phúc Thọ,Hà Nội
Phúc Yên,Vĩnh Phúc
Phụng Hiệp,Hậu Giang
Phước Long (thị xã),Bình Phước
Phước Long (huyện),Bạc Liêu
Phước Sơn,Quảng Nam
Pleiku,Gia Lai
Quan Hóa,Thanh Hóa
Quan Sơn,Thanh Hóa
Quản Bạ,Hà Giang
Quang Bình,Hà Giang
Quảng Điền,Thừa Thiên-Huế
Quảng Hòa,Cao Bằng
Quảng Ngãi (thành phố),Quảng Ngãi
Quảng Ninh (huyện),Quảng Bình
Quảng Trạch,Quảng Bình
Quảng Trị (thị xã),Quảng Trị
Quảng Yên,Quảng Ninh
Quảng Xương,Thanh Hóa
Quận 1,Thành phố Hồ Chí Minh
Quận 2,Thành phố Hồ Chí Minh
Quận 3,Thành phố Hồ Chí Minh
Quận 4,Thành phố Hồ Chí Minh
Quận 5,Thành phố Hồ Chí Minh
Quận 6,Thành phố Hồ Chí Minh
Quận 7,Thành phố Hồ Chí Minh
Quận 8,Thành phố Hồ Chí Minh
Quận 9,Thành phố Hồ Chí Minh
Quận 10,Thành phố Hồ Chí Minh
Quận 11,Thành phố Hồ Chí Minh
Quận 12,Thành phố Hồ Chí Minh
Quế Phong,Nghệ An
Quế Sơn,Quảng Nam
Quế Võ,Bắc Ninh
Quy Nhơn,Bình Định
Quốc Oai,Hà Nội
Quỳ Châu,Nghệ An
Quỳ Hợp,Nghệ An
Quỳnh Lưu,Nghệ An
Quỳnh Nhai,Sơn La
Quỳnh Phụ,Thái Bình
Rạch Giá,Kiên Giang
Sa Đéc,Đồng Tháp
Sa Pa,Lào Cai
Sa Thầy,Kon Tum
Sầm Sơn,Thanh Hóa
Si Ma Cai,Lào Cai
Sìn Hồ,Lai Châu
Sóc Sơn,Hà Nội
Sóc Trăng (thành phố),Sóc Trăng
Sông Cầu (thị xã),Phú Yên
Sông Công (thành phố),Thái Nguyên
Sông Hinh (huyện),Phú Yên
Sông Lô (huyện),Vĩnh Phúc
Sông Mã (huyện),Sơn La
Sốp Cộp,Sơn La
Sơn Động,Bắc Giang
Sơn Dương,Tuyên Quang
Sơn Hà,Quảng Ngãi
Sơn Hòa,Phú Yên
Sơn La (thành phố),Sơn La
Sơn Tây (thị xã),Hà Nội
Sơn Tây (huyện),Quảng Ngãi
Sơn Tịnh,Quảng Ngãi
Sơn Trà (quận),Đà Nẵng
Tam Bình,Vĩnh Long
Tam Dương,Vĩnh Phúc
Tam Đảo (huyện),Vĩnh Phúc
Tam Điệp,Ninh Bình
Tam Đường,Lai Châu
Tam Kỳ,Quảng Nam
Tam Nông, Đồng Tháp,Đồng Tháp
Tam Nông, Phú Thọ,Phú Thọ
Tánh Linh,Bình Thuận
Tân An,Long An
Tân Biên,Tây Ninh
Tân Bình,Thành phố Hồ Chí Minh
Tân Châu (thị xã),An Giang
Tân Châu (huyện),Tây Ninh
Tân Hiệp,Kiên Giang
Tân Hồng,Đồng Tháp
Tân Hưng,Long An
Tân Kỳ,Nghệ An
Tân Lạc,Hòa Bình
Tân Phú (huyện),Đồng Nai
Tân Phú (quận),Thành phố Hồ Chí Minh
Tân Phú Đông,Tiền Giang
Tân Phước,Tiền Giang
Tân Sơn,Phú Thọ
Tân Thạnh,Long An
Tân Trụ,Long An
Tân Uyên (thị xã),Bình Dương
Tân Uyên (huyện),Lai Châu
Tân Yên,Bắc Giang
Tây Giang,Quảng Nam
Tây Hòa,Phú Yên
Tây Hồ (quận),Hà Nội
Tây Ninh (thành phố),Tây Ninh
Tây Sơn,Bình Định
Thạch An,Cao Bằng
Thạch Hà,Hà Tĩnh
Thạch Thành,Thanh Hóa
Thạch Thất,Hà Nội
Thái Bình (thành phố),Thái Bình
Thái Hòa,Nghệ An
Thái Nguyên (thành phố),Thái Nguyên
Thái Thụy,Thái Bình
Than Uyên,Lai Châu
Thanh Ba,Phú Thọ
Thanh Bình,Đồng Tháp
Thanh Chương,Nghệ An
Thanh Hà,Hải Dương
Thanh Hóa (thành phố),Thanh Hóa
Thanh Khê,Đà Nẵng
Thanh Liêm,Hà Nam
Thanh Miện,Hải Dương
Thanh Oai,Hà Nội
Thanh Sơn,Phú Thọ
Thanh Thủy,Phú Thọ
Thanh Trì,Hà Nội
Thanh Xuân,Hà Nội
Thạnh Hóa,Long An
Thạnh Phú,Bến Tre
Thạnh Trị,Sóc Trăng
Tháp Mười,Đồng Tháp
Thăng Bình,Quảng Nam
Thiệu Hóa,Thanh Hóa
Thọ Xuân,Thanh Hóa
Thoại Sơn,An Giang
Thống Nhất,Đồng Nai
Thốt Nốt,Cần Thơ
Thới Bình,Cà Mau
Thới Lai,Cần Thơ
Thủ Dầu Một,Bình Dương
Thủ Đức,Thành phố Hồ Chí Minh
Thủ Thừa,Long An
Thuận An,Bình Dương
Thuận Bắc,Ninh Thuận
Thuận Châu,Sơn La
Thuận Nam,Ninh Thuận
Thuận Thành,Bắc Ninh
Thủy Nguyên,Hải Phòng
Thường Tín,Hà Nội
Thường Xuân,Thanh Hóa
Tiên Du,Bắc Ninh
Tiền Hải,Thái Bình
Tiên Lãng,Hải Phòng
Tiên Lữ,Hưng Yên
Tiên Phước,Quảng Nam
Tiên Yên,Quảng Ninh
Tiểu Cần,Trà Vinh
Tịnh Biên,An Giang
Trà Bồng,Quảng Ngãi
Trà Cú,Trà Vinh
Trà Ôn,Vĩnh Long
Trà Vinh (thành phố),Trà Vinh
Trạm Tấu,Yên Bái
Tràng Định,Lạng Sơn
Trảng Bàng,Tây Ninh
Trảng Bom,Đồng Nai
Trấn Yên,Yên Bái
Trần Đề,Sóc Trăng
Trần Văn Thời (huyện),Cà Mau
Tri Tôn,An Giang
Triệu Phong,Quảng Trị
Triệu Sơn,Thanh Hóa
Trùng Khánh (huyện),Cao Bằng
Trực Ninh,Nam Định
Trường Sa (huyện),Khánh Hòa
Tủa Chùa,Điện Biên
Tuần Giáo,Điện Biên
Tu Mơ Rông,Kon Tum
Tuy An,Phú Yên
Tuy Đức,Đăk Nông
Tuy Hòa,Phú Yên
Tuy Phong,Bình Thuận
Tuy Phước,Bình Định
Tuyên Hóa,Quảng Bình
Tuyên Quang (thành phố),Tuyên Quang
Tư Nghĩa,Quảng Ngãi
Tứ Kỳ,Hải Dương
Từ Sơn,Bắc Ninh
Tương Dương (huyện),Nghệ An
U Minh,Cà Mau
U Minh Thượng,Kiên Giang
Uông Bí,Quảng Ninh
Ứng Hòa,Hà Nội
Vạn Ninh,Khánh Hòa
Văn Bàn,Lào Cai
Văn Chấn,Yên Bái
Văn Giang,Hưng Yên
Văn Lãng,Lạng Sơn
Văn Lâm,Hưng Yên
Văn Quan,Lạng Sơn
Văn Yên,Yên Bái
Vân Canh,Bình Định
Vân Đồn,Quảng Ninh
Vân Hồ,Sơn La
Vị Thanh,Hậu Giang
Vị Thủy,Hậu Giang
Vị Xuyên,Hà Giang
Việt Trì,Phú Thọ
Việt Yên,Bắc Giang
Vinh,Nghệ An
Vĩnh Bảo,Hải Phòng
Vĩnh Châu,Sóc Trăng
Vĩnh Cửu,Đồng Nai
Vĩnh Hưng,Long An
Vĩnh Linh,Quảng Trị
Vĩnh Long (thành phố),Vĩnh Long
Vĩnh Lộc,Thanh Hóa
Vĩnh Lợi,Bạc Liêu
Vĩnh Thạnh, Bình Định,Bình Định
Vĩnh Thạnh, Cần Thơ,Cần Thơ
Vĩnh Thuận,Kiên Giang
Vĩnh Tường,Vĩnh Phúc
Vĩnh Yên,Vĩnh Phúc
Võ Nhai,Thái Nguyên
Vũ Quang,Hà Tĩnh
Vũ Thư,Thái Bình
Vụ Bản,Nam Định
Vũng Liêm,Vĩnh Long
Vũng Tàu,Bà Rịa-Vũng Tàu
Xín Mần,Hà Giang
Xuân Lộc,Đồng Nai
Xuân Trường,Nam Định
Xuyên Mộc,Bà Rịa-Vũng Tàu
Ý Yên,Nam Định
Yên Bái (thành phố),Yên Bái
Yên Bình,Yên Bái
Yên Châu,Sơn La
Yên Dũng,Bắc Giang
Yên Định,Thanh Hóa
Yên Khánh,Ninh Bình
Yên Lạc,Vĩnh Phúc
Yên Lập,Phú Thọ
Yên Minh,Hà Giang
Yên Mô,Ninh Bình
Yên Mỹ,Hưng Yên
Yên Phong,Bắc Ninh
Yên Sơn,Tuyên Quang
Yên Thành,Nghệ An
Yên Thế,Bắc Giang
Yên Thủy,Hòa Bình
